,gameId,name,image,thumbnail,minPlayers,maxPlayers,isExpansion,yearPublished
47,158976,Ascension: Year One Collector's Edition,https://cf.geekdo-images.com/beBLfKJwwYNYXfIlLbUaNQ__original/img/zKpXyljRdjCiCuxWgY5ES64re9g=/0x0/filters:format(jpeg)/pic2422635.jpg,https://cf.geekdo-images.com/beBLfKJwwYNYXfIlLbUaNQ__thumb/img/LKNJHZDWT5NkxjMdC9sH9CFiFJQ=/fit-in/200x150/filters:strip_icc()/pic2422635.jpg,1,6,False,2015
48,149241,Assault on Doomrock,https://cf.geekdo-images.com/yMcWmW7Kaaeu0AeBLYTPnQ__original/img/QGSfNAqVzHmuD3Ghynd8JKyI0hw=/0x0/filters:format(jpeg)/pic7012223.jpg,https://cf.geekdo-images.com/yMcWmW7Kaaeu0AeBLYTPnQ__thumb/img/ZbWpRKl4s3iJh_-kGW5SAlqDRpg=/fit-in/200x150/filters:strip_icc()/pic7012223.jpg,1,4,False,2014
49,180680,Automobiles,https://cf.geekdo-images.com/nkJTfSPcFJMWRXbylQV1zQ__original/img/bcbLZ1mH1F55W7vYEo7h4XwXkbs=/0x0/filters:format(png)/pic2586265.png,https://cf.geekdo-images.com/nkJTfSPcFJMWRXbylQV1zQ__thumb/img/IMVYj2GfptabGcuAmZHL54SHSw0=/fit-in/200x150/filters:strip_icc()/pic2586265.png,2,5,False,2016
50,143741,BANG! The Dice Game,https://cf.geekdo-images.com/BLTFau1Ue-gjX6geQdYrjQ__original/img/3CcRDvDttHpWLP6wc_jZHufTfl4=/0x0/filters:format(jpeg)/pic2909713.jpg,https://cf.geekdo-images.com/BLTFau1Ue-gjX6geQdYrjQ__thumb/img/IijBpyOQC760F6XIw34WT0ePqe4=/fit-in/200x150/filters:strip_icc()/pic2909713.jpg,3,8,False,2013
51,135219,The Battle of Five Armies,https://cf.geekdo-images.com/SQBx844N1Ay31pm368Ckkg__original/img/zu-ZhjwIQGzO7uK8Czt0xy4Ud-Y=/0x0/filters:format(jpeg)/pic1886964.jpg,https://cf.geekdo-images.com/SQBx844N1Ay31pm368Ckkg__thumb/img/j5q6CR72Lqv4mkA-G1KKTBa9rYU=/fit-in/200x150/filters:strip_icc()/pic1886964.jpg,2,2,False,2014
52,37111,Battlestar Galactica: The Board Game,https://cf.geekdo-images.com/5Q2w2rFJiFI_uV89KP6ECg__original/img/MYuRAKLRAGlIQTph2XKWjzqT7sQ=/0x0/filters:format(jpeg)/pic354500.jpg,https://cf.geekdo-images.com/5Q2w2rFJiFI_uV89KP6ECg__thumb/img/s1BljxEdoxQ1zGYiw05Qa9rg9hI=/fit-in/200x150/filters:strip_icc()/pic354500.jpg,3,6,False,2008
53,50750,Belfort,https://cf.geekdo-images.com/7EoGJIE03X3_Gxw4AcADJQ__original/img/pc6HDj_WGlubFiyo0Ur9z3jXhIs=/0x0/filters:format(jpeg)/pic1368514.jpg,https://cf.geekdo-images.com/7EoGJIE03X3_Gxw4AcADJQ__thumb/img/kpieGmBNsObVwNDJtvJsAdEPs1E=/fit-in/200x150/filters:strip_icc()/pic1368514.jpg,2,5,False,2011
54,141320,Belfort: The Expansion Expansion,https://cf.geekdo-images.com/lbof9STlqwlSvwSGSV1Vtw__original/img/X1eXHOlXFzmaWQtudtShOACZaMM=/0x0/filters:format(jpeg)/pic1640305.jpg,https://cf.geekdo-images.com/lbof9STlqwlSvwSGSV1Vtw__thumb/img/5tWdnER1Y0EgcWG3Y91An5-_eSg=/fit-in/200x150/filters:strip_icc()/pic1640305.jpg,2,5,True,2013
55,139897,Belle of the Ball,https://cf.geekdo-images.com/JMVcMUrZC-K3DjeuHFXhjw__original/img/jVKAu6rHUkZk6ba2kHOrdTawKJY=/0x0/filters:format(jpeg)/pic4593784.jpg,https://cf.geekdo-images.com/JMVcMUrZC-K3DjeuHFXhjw__thumb/img/uPIXh-8lRCEdmN6Np3Ze_XbW86I=/fit-in/200x150/filters:strip_icc()/pic4593784.jpg,2,5,False,2014
56,10547,Betrayal at House on the Hill,https://cf.geekdo-images.com/lqmt2Oti_qJS65XqHcB8AA__original/img/7R6yYk8A2eUMmSDaxGjae5SceGI=/0x0/filters:format(png)/pic5146864.png,https://cf.geekdo-images.com/lqmt2Oti_qJS65XqHcB8AA__thumb/img/EDOmDbRhLy4za2PHkJ5IbhNxZmk=/fit-in/200x150/filters:strip_icc()/pic5146864.png,3,6,False,2004
57,168435,Between Two Cities,https://cf.geekdo-images.com/7KO73MdSD1yCUvKmb4pOgA__original/img/Z1jHr2yyOS982h3F5IktoEYTxeU=/0x0/filters:format(jpeg)/pic6352795.jpg,https://cf.geekdo-images.com/7KO73MdSD1yCUvKmb4pOgA__thumb/img/BaLQhhGkNB6LaNqGnaNzz88GLOA=/fit-in/200x150/filters:strip_icc()/pic6352795.jpg,1,7,False,2015
58,168681,Beyond Baker Street,https://cf.geekdo-images.com/XgBfnBKxkjHsy3AY5rezPw__original/img/umGqkvF1Oso4OL9U0gDuAbM36Q0=/0x0/filters:format(jpeg)/pic2926075.jpg,https://cf.geekdo-images.com/XgBfnBKxkjHsy3AY5rezPw__thumb/img/H9p6DkWCopeQTb_SmuWeYNHq0Ik=/fit-in/200x150/filters:strip_icc()/pic2926075.jpg,2,4,False,2016
59,34219,Biblios,https://cf.geekdo-images.com/w9pHmbMbHEFYtuOUcWcruA__original/img/jOmzNb1JROlzeqEmCDScX_IkHVU=/0x0/filters:format(jpeg)/pic759154.jpg,https://cf.geekdo-images.com/w9pHmbMbHEFYtuOUcWcruA__thumb/img/BYid-ptJy9xNI_kK3IDWOGLWJVM=/fit-in/200x150/filters:strip_icc()/pic759154.jpg,2,4,False,2007
60,164506,Biblios Dice,https://cf.geekdo-images.com/z84uLvB8hB6tZWwty9-Z5w__original/img/MaD4ZLT8t2rBb9Dvs-qnvXMFMg8=/0x0/filters:format(jpeg)/pic2300088.jpg,https://cf.geekdo-images.com/z84uLvB8hB6tZWwty9-Z5w__thumb/img/IGy3QukQS2p-17qmK4GXSyOuXf8=/fit-in/200x150/filters:strip_icc()/pic2300088.jpg,2,5,False,2015
61,171233,The Big Book of Madness,https://cf.geekdo-images.com/-LL30JqMelQiFx51xjzIVg__original/img/xxc0HZxHgBnPPe5GNJ3kQ1Xyd4Q=/0x0/filters:format(jpeg)/pic2750172.jpg,https://cf.geekdo-images.com/-LL30JqMelQiFx51xjzIVg__thumb/img/1zS0iG4Y_mY8RNwJqTZm6o5YztI=/fit-in/200x150/filters:strip_icc()/pic2750172.jpg,2,5,False,2015
